Capstone Competition									
Page last updated on: 2015-10-12 04:28:58 (GMT)									
Rank	Alias	Classification Accuracy	Precision 0	Precision 1	Recall 0	Recall 1	Precision	Recall	F1
148	Big_T	0.572492747	0.99477735	0.011502647	0.572083465	0.623762376	0.503139999	0.597922921	0.546451855
149	CAF	0.686505136	0.994288325	0.012753188	0.687954474	0.504950495	0.503520757	0.596452484	0.546060931
150	CoffeeMan	0.686113071	0.994285061	0.012737263	0.687559279	0.504950495	0.503511162	0.596254887	0.545972466
151	SFBG	0.333098095	0.996646707	0.010142224	0.328880809	0.861386139	0.503394465	0.595133474	0.545433368
152	pachoz	0.548263154	0.994829815	0.011226252	0.547502371	0.643564356	0.503028033	0.595533364	0.545385952
153	htan	0.362032463	0.996263736	0.010240156	0.358283275	0.831683168	0.503251946	0.594983222	0.545286607
154	leonkyr	0.892887948	0.993614416	0.021196064	0.897802719	0.277227723	0.50740524	0.587515221	0.544529602
155	dalebrown07	0.57257116	0.994642121	0.01132627	0.572241543	0.613861386	0.502984195	0.593051464	0.544317169
156	AJOM	0.782090489	0.993896948	0.014503263	0.785172305	0.396039604	0.504200106	0.590605954	0.543993307
157	CamFalc60	0.549517761	0.9946999	0.011088011	0.548846032	0.633663366	0.502893955	0.591254699	0.54350643
158	jinwoomom	0.60746491	0.994438696	0.011551484	0.607730003	0.574257426	0.50299509	0.590993714	0.543455171
159	ALEJOXPS	0.813377245	0.993751202	0.015312633	0.817024976	0.356435644	0.504531917	0.58673031	0.542535352
160	Boyke	0.592488042	0.994428969	0.011315689	0.592554537	0.584158416	0.502872329	0.588356476	0.542266095
161	AlexeyS	0.75503803	0.993883475	0.013517863	0.757745811	0.415841584	0.503700669	0.586793698	0.54208144
162	PRIP	0.610287775	0.994337194	0.011438892	0.610654442	0.564356436	0.502888043	0.587505439	0.541913475
163	hhh	0.355681016	0.995974055	0.010021734	0.351960164	0.821782178	0.502997894	0.586871171	0.541707206
164	gabef	0.355681016	0.995974055	0.010021734	0.351960164	0.821782178	0.502997894	0.586871171	0.541707206
165	JWar	0.863483102	0.993576405	0.017647059	0.868005058	0.297029703	0.505611732	0.582517381	0.541346828
166	hai	0.862698973	0.993570588	0.01754386	0.86721467	0.297029703	0.505557224	0.582122186	0.541144888
167	Jayman	0.635615149	0.994196814	0.011602922	0.636421119	0.534653465	0.502899868	0.585537292	0.541081539
168	rxcore	0.857210068	0.993529573	0.016853933	0.861681948	0.297029703	0.505191753	0.579355825	0.539738027
169	Nickname	0.857053242	0.993528393	0.016835017	0.86152387	0.297029703	0.505181705	0.579276786	0.539697991
170	Fidel Rebon	0.808672469	0.99361949	0.01452885	0.812361682	0.346534653	0.50407417	0.579448168	0.539139516
171	yfliu	0.741786246	0.993774401	0.012820513	0.744388239	0.415841584	0.503297457	0.580114912	0.538982881
172	curlygreen	0.586920725	0.994243641	0.010978611	0.587021815	0.574257426	0.502611126	0.58063962	0.538815107
173	gezhenhao	0.40327766	0.995090338	0.009920376	0.400490041	0.752475248	0.502505357	0.576482644	0.536957995
174	Blasillo	0.60503411	0.9940314	0.010899723	0.605516914	0.544554455	0.502465561	0.575035685	0.53630681
175	udaniel	0.600250921	0.993854603	0.010577865	0.600774581	0.534653465	0.502216234	0.567714023	0.532960343
176	zander	0.746961499	0.993403832	0.011867583	0.749920961	0.376237624	0.502635707	0.563079292	0.531143427
177	JohnnyBigu	0.746961499	0.993403832	0.011867583	0.749920961	0.376237624	0.502635707	0.563079292	0.531143427
178	kka222	0.832196346	0.993243243	0.01382928	0.836547581	0.287128713	0.503536262	0.561838147	0.531091939
179	dfa126	0.755900572	0.993175473	0.011356262	0.759168511	0.346534653	0.502265868	0.552851582	0.526346104
180	vneit	0.603622677	0.99324763	0.009699129	0.604568448	0.485148515	0.50147338	0.544858481	0.522266471
181	FAIL	0.889280954	0.992809541	0.014084507	0.89487828	0.188118812	0.503447024	0.541498546	0.521779965
182	ShaneKao	0.792205756	0.992903607	0.011123897	0.796237749	0.287128713	0.502013752	0.541683231	0.521094601
183	palashgoyal1	0.497922058	0.992745624	0.008577667	0.497549794	0.544554455	0.500661645	0.521052125	0.510653417
184	Billy	0.991766643	0.99207781	0	0.999683844	0	0.496038905	0.499841922	0.497933152
185	Zyrix	0.574217831	0.99182784	0.007577158	0.575561176	0.405940594	0.499702499	0.490750885	0.49518624
186	adsarXYZ0	0.962832275	0.99192115	0.002666667	0.970439456	0.00990099	0.497293909	0.490170223	0.49370637
